"unigram","bigram","freq"
"the","month",19
"the","president",19
"the","store",19
"the","three",19
"the","woman",19
"them","as",19
"them","i",19
"these","days",19
"they","dont",19
"think","the",19
"this","and",19
"this","way",19
"though","the",19
"time","it",19
"time","you",19
"to","another",19
"to","believe",19
"to","follow",19
"to","offer",19
"to","understand",19
"together","and",19
"towards","the",19
"trip","to",19
"types","of",19
"until","i",19
"up","at",19
"used","the",19
"using","a",19
"we","go",19
"we","should",19
"which","the",19
"with","each",19
"write","a",19
"years","old",19
"a","blog",18
"a","full",18
"a","job",18
"a","look",18
"a","much",18
"a","series",18
"a","short",18
"a","story",18
"a","total",18
"about","that",18
"about","their",18
"above","the",18
"all","these",18
"allowed","to",18
"am","going",18
"and","while",18
"and","yet",18
"are","also",18
"are","to",18
"at","am",18
"at","any",18
"at","her",18
"beginning","of",18
"believe","it",18
"beyond","the",18
"black","and",18
"but","you",18
"came","out",18
"cant","be",18
"card","i",18
"chose","to",18
"come","in",18
"come","up",18
"did","i",18
"didnt","know",18
"do","have",18
"each","of",18
"enough","for",18
"found","the",18
"have","become",18
"have","them",18
"he","also",18
"he","made",18
"her","in",18
"hes","not",18
"his","head",18
"how","you",18
"however","the",18
"hundreds","of",18
"i","wouldnt",18
"i","write",18
"idea","that",18
"if","youve",18
"im","so",18
"in","on",18
"is","and",18
"its","own",18
"ive","got",18
"jesus","christ",18
"just","like",18
"just","one",18
"just","to",18
"keep","it",18
"know","about",18
"life","i",18
"likely","to",18
"love","it",18
"love","this",18
"makes","it",18
"man","and",18
"man","who",18
"me","when",18
"more","about",18
"morning","i",18
"much","i",18
"my","best",18
"my","new",18
"never","been",18
"nice","to",18
"not","going",18
"of","mine",18
"old","and",18
"once","the",18
"our","own",18
"place","in",18
"prior","to",18
"remember","that",18
"she","did",18
"similar","to",18
"size","of",18
"so","if",18
"sure","i",18
"that","when",18
"the","bill",18
"the","edge",18
"the","face",18
"the","field",18
"the","music",18
"the","picture",18
"the","school",18
"the","size",18
"the","thing",18
"their","lives",18
"then","they",18
"there","for",18
"thing","i",18
"thing","that",18
"this","past",18
"thought","that",18
"time","but",18
"time","we",18
"to","one",18
"to","turn",18
"took","a",18
"us","that",18
"us","the",18
"was","about",18
"was","my",18
"was","taken",18
"way","i",18
"we","know",18
"week","i",18
"well","and",18
"were","a",18
"what","happened",18
"what","she",18
"which","they",18
"work","for",18
"year","of",18
"years","i",18
"yet","to",18
"you","for",18
"a","handful",17
"a","major",17
"a","minute",17
"a","quick",17
"a","similar",17
"a","third",17
"about","minutes",17
"access","to",17
"add","the",17
"age","of",17
"am","so",17
"and","do",17
"and","look",17
"and","theres",17
"and","were",17
"and","your",17
"as","one",17
"be","done",17
"became","a",17
"before","you",17
"but","now",17
"came","up",17
"can","tell",17
"could","do",17
"cup","of",17
"does","it",17
"feel","the",17
"few","minutes",17
"few","months",17
"few","of",17
"for","another",17
"for","each",17
"for","now",17
"for","what",17
"form","of",17
"found","out",17
"found","that",17
"from","an",17
"gave","me",17
"get","back",17
"get","into",17
"give","them",17
"given","the",17
"grew","up",17
"happy","to",17
"hard","work",17
"has","not",17
"have","come",17
"he","says",17
"heard","of",17
"heart","and",17
"her","the",17
"here","to",17
"i","looked",17
"i","understand",17
"i","watched",17
"in","for",17
"in","place",17
"in","these",17
"is","quite",17
"it","because",17
"it","did",17
"its","like",17
"its","time",17
"ive","never",17
"ive","seen",17
"just","be",17
"level","of",17
"life","is",17
"majority","of",17
"make","up",17
"me","but",17
"month","and",17
"most","people",17
"much","better",17
"my","body",17
"my","last",17
"new","jersey",17
"next","year",17
"no","way",17
"of","and",17
"of","him",17
"olive","oil",17
"one","can",17
"or","if",17
"outside","of",17
"parents","and",17
"people","and",17
"person","who",17
"plan","to",17
"see","you",17
"she","could",17
"she","would",17
"since","we",17
"so","its",17
"some","more",17
"something","like",17
"st","louis",17
"starting","to",17
"talked","about",17
"thanks","for",17
"that","ive",17
"that","made",17
"that","makes",17
"that","much",17
"that","people",17
"that","to",17
"the","black",17
"the","books",17
"the","current",17
"the","food",17
"the","former",17
"the","french",17
"the","full",17
"the","image",17
"the","issue",17
"the","love",17
"the","opportunity",17
"the","price",17
"the","results",17
"the","west",17
"them","with",17
"things","and",17
"this","i",17
"though","it",17
"to","choose",17
"to","enter",17
"to","myself",17
"to","run",17
"to","what",17
"turned","out",17
"two","weeks",17
"understand","the",17
"use","it",17
"very","good",17
"was","i",17
"was","only",17
"we","may",17
"when","my",17
"why","do",17
"why","the",17
"will","never",17
"work","with",17
"year","in",17
"you","in",17
"a","comment",16
"a","copy",16
"a","film",16
"a","game",16
"a","serious",16
"a","trip",16
"a","word",16
